sep=	
-3.749119477644063947e-02	6.578811837721090239e-01
1.966717727389320214e-01	-2.766061794755320102e-01
3.192925982483694192e-01	1.808558010709198638e-01
2.566086893267635616e-01	-9.491776845096927540e-02
1.260253631372030281e-01	1.481888126334697520e-01
1.152030572342632037e-02	2.904173183101511624e-01
-2.059806913793937877e-01	5.924090392159564455e-02
5.562947258141032192e-01	-4.409705830381904224e-01
3.528457872591782285e-02	-4.012587193269956942e-01
-1.353377690895142815e-01	-6.564653741903708761e-03
-5.696458547952631957e-01	-2.358916539437565518e-01
-2.958295608278270206e-01	-1.680617320011708882e-01
8.061081742088281599e-02	-4.679967107565265461e-01
-2.236019229938289998e-01	1.261493812976421658e-01
-1.566635131011483439e-01	-1.774678617988024454e-01
2.680305346197041638e-01	-2.121154519189667464e-01
-2.117069403511535053e-01	-6.595970975721365814e-02
-1.937394811134162953e-01	-8.765115783169120933e-02
-2.033448054444737529e-01	4.485309861166473788e-01
-1.436402036316438979e-01	5.653952510602309328e-02
4.793422354871446078e-01	3.130050361441453211e-01
8.018662698351168572e-02	3.722400133617481677e-01
3.356808674261552161e-02	-2.615713567667603545e-01
-5.488240298804636375e-01	7.497356931066438690e-02
-1.766127889144746832e-01	2.170714059602810164e-01
-1.962072879636782008e-01	3.795899480721477010e-02
-4.263012735211011428e-01	-3.574109369106197587e-01
4.297592817417576483e-01	-6.906014825540425506e-02
-1.646097815721603297e-01	-1.164638381577229459e-01
3.206895562266826039e-02	1.071754404394903715e-01
2.069795729765332715e-01	3.818296146685704606e-01
-3.234309195933532943e-01	-9.285617825434691608e-02
1.341739298551525295e-01	-2.113203104169245061e-02
5.547994601045443119e-02	1.201685947937047305e-01
-1.059388692380975605e-01	-4.277702213382087448e-01
-7.594215658567335936e-01	2.319468796258954968e-01
4.138743009415735141e-01	4.914632452807083003e-03
-3.554004692378183727e-01	-2.233133282372064543e-01
-1.371643502022225902e-01	3.329490523115621325e-01
